title,abstract,eid
Applicability Evaluation and Reflection on Artificial Intelligence-based “Image to Image” Generation of Landscape Architecture Masterplans; [人工智能“图生图”式景观平面生成技术的适用性评价与反思],"Artificial intelligence (AI) image generation is revolutionizing traditional workflow in landscape architecture industry, among which the “image-to-image” generative adversarial network (GAN) exhibits potential to facilitate concept design. Therefore, it underscores the importance of applicability evaluation from the perspective of users. This research aims to evaluate the quality of the GAN-generated results, their effectiveness in integrating with design workflows, and the landscape architects’ acceptance of the results through image analysis and user survey. The evaluation focuses on layout generation and masterplan rendering within the Pix2Pix-BicycleGAN workflow. The evaluation metrics of image analysis including block number absolute/Euclidean distance, histogram distance, and structural similarity index measure, were employed. Additionally, the online survey with two questionnaires was conducted to evaluate the visual realism and preference for color and texture of the GAN-generated results. The findings indicate that the GAN-generated layout exhibits a high similarity to the human-designed layout, and the GAN-rendered masterplans fulfill the criteria for concept design and garner positive user acceptance. Conclusively, this study delves into the intrinsic rationality of the GAN generation methods and limitations in professional ethics and data bias, reflecting on the gaps between current AI-assisted design methods and evidence-based design. © Higher Education Press 2024.",2-s2.0-85213231289
Towards Reproducible Research in Machine Learning via Blockchain,"Artificial Intelligence, particularly in Machine Learning and related research areas such as Operational Research, currently faces a reproducibility crisis. Researchers encounter difficulties reproducing key results due to lacking critical details, including the disconnection between publications and the associated codes, data, and parameter settings. Solutions that improve code accessibility, data provenance tracking, research transparency, auditing of obtained results, and trust can significantly accelerate algorithm and model development, validation, and transition into real-world applications. Blockchain technology, with its features of decentralization, data immutability, cryptographic hash functions, and consensus algorithms, provides a promising avenue for developing such solutions. By leveraging the distributed ledger working over a peer-to-peer network, a secure and auditable infrastructure can be established for sharing and controlling data in a trusted manner. Our analysis examines the current state-of-the-art blockchain-based proposals that target reproducibility issues in the Machine Learning domain. Based on the analysis of existing solutions, we propose a high-level architecture and main modules for developing a blockchain-based platform that enhances reproducible research in Machine Learning and can be adapted to other Artificial Intelligence domains. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",2-s2.0-85215955448
Classification of architectural styles in Chinese traditional settlements using remote sensing images and building facade pictures,"The classification of Chinese traditional settlements (CTSs) is extremely important for their differentiated development and protection. The innovative double-branch classification model developed in this study comprehensively utilized the features of remote sensing (RS) images and building facade pictures (BFPs). This approach was able to overcome the limitations of previous methods that used only building facade images to classify settlements. First, the features of the roofs and walls were extracted using a double-branch structure, which consisted of an RS image branch and BFP branch. Then, a feature fusion module was designed to fuse the features of the roofs and walls. The precision, recall, and F1-score of the proposed model were improved by more than 4% compared with the classification model using only RS images or BFPs. The same three indexes of the proposed model were improved by more than 2% compared with other deep learning models. The results demonstrated that the proposed model performed well in the classification of architectural styles in CTSs. © Science Press 2024.",2-s2.0-85211352369
ConvFormer: Combining CNN and Transformer for Medical Image Segmentation,"Convolutional neural network (CNN) based methods have achieved great successes in medical image segmentation, but their capability to learn global representations is still limited due to using small effective receptive fields of convolution operations. Transformer based methods are capable of modelling long-range dependencies of information for capturing global representations, yet their ability to model local context is lacking. Integrating CNN and Transformer to learn both local and global representations while exploring multi-scale features is instrumental in further improving medical image segmentation. In this paper, we propose a hierarchical CNN and Transformer hybrid architecture, called ConvFormer, for medical image segmentation. ConvFormer is based on several simple yet effective designs. (1) A feed forward module of Deformable Transformer (DeTrans) is re-designed to introduce local information, called Enhanced DeTrans. (2) A residual-shaped hybrid stem based on a combination of convolutions and Enhanced DeTrans is developed to capture both local and global representations to enhance representation ability. (3) Our encoder utilizes the residual-shaped hybrid stem in a hierarchical manner to generate feature maps in different scales, and an additional Enhanced DeTrans encoder with residual connections is built to exploit multi-scale features with feature maps of different scales as input. Experiments on several datasets show that our ConvFormer, trained from scratch, outperforms various CNN- or Transformer-based architectures, achieving state-of-the-art performance. © 2023 IEEE.",2-s2.0-85172123148
"Big geodata aggregation: Connotation, classification, and framework; [地理大数据聚合的内涵、分类与框架]","Big geodata can be regarded as the ""footprints"" generated by geographic objects, which are divided into two types: big earth observation data and big social behavior data. Big earth observation data refer to remote sensing data and all kinds of monitoring data from ground observation stations; big social behavior data are defined as the data generated by humans, such as mobile phone data, traffic card data, social media data, and trajectory data of floating cars. Big earth observation data contain the information of land surface, and big social behavior data record the social behavior of humans. The essence of big geodata mining is to reveal the man-land relationship via the retrieval of the ""footprint"" of geographic objects. Magnificent progresses in recent years demonstrate that most of them have been made through the aggregation of multiple types of big geodata. The significance of big geodata aggregation can be summarized into three aspects: to represent a new research paradigm, to produce a new research angle, and to improve the research quality by combining different types of information. In contrast to image fusion, which is regarded as the combination of imageries with the same data structure, big geodata aggregation is defined as the merging of different types of big geodata into a multidimensional dataset through transformation in terms of structure, content, and representation. In general, big geodata aggregation includes big earth observation data and big social behavior data. Given the differences in data source, data structure, connotation, and granularity, the aggregation procedure is various and complicated. Considering the characteristics and the classification of big geodata, we classify big geodata aggregation into four types: spatiotemporal aggregation, object-oriented aggregation, topic-oriented aggregation, and model-oriented aggregation. In spatiotemporal aggregation, data are merged via their common locations, such as the aggregation between POI and remote sensing data. In object-oriented aggregation, data are connected through the same object, such as the aggregation of indoor and outdoor trajectory data via the same phone carrier. In topic-oriented aggregation, data with the same topic are integrated, such as the aggregation of different types of information sourced from the same earthquake event. In model-oriented aggregation, data are assimilated via the same model, such as the aggregation of street view data and POI data when using a deep learning model for the recognition of building style. As an important part of big geodata mining, the procedure of big geodata aggregation can be divided into four steps: the determination of the aggregation core, information back tracking, retrieving, and converging. The key issues in big geodata aggregation include unifying spatiotemporal benchmarks, uniting data representation and storage, matching multisource big geodata from the same geo-object, centralizing the spatiotemporal scope of multisource big geodata, settling the changing velocities of different objects, solving data-sharing and privacy protection problems, and aggregating big and small geodata. With the development of methods and techniques of big geodata aggregation, some research areas, including the sensing of places, the identification of land functions, the detection of crowd activities, the determination of the relationship between urban functions and multisource flow, and the introduction of a land surface complex giant system, may be substantially expanded. © 2021, Science Press. All right reserved.",2-s2.0-85120422528
Applications of a Deep Neural Network to Illustration Art Style Design of City Architectural,"With the continuous advancement of computer technology, deep learning models have emerged as innovative tools in shaping various aspects of architectural design. Recognizing the distinctive perspective of children, which differs significantly from that of adults, this paper contends that conventional standards may not always be the most suitable approach in designing urban structures tailored for children. The primary objective of this study is to leverage neural style networks within the design process, specifically adopting the artistic viewpoint found in children's illustrations. By combining the aesthetic paradigm of urban architecture with inspiration drawn from children's aesthetic preferences, the aim is to unearth more creative and subversive aesthetics that challenge traditional norms. The selected context for exploration is the landmark buildings in Qingdao City, Shandong Province, China. Employing the neural style network, the study uses architectural elements of the chosen buildings as content images while preserving their inherent characteristics. The process involves artistic stylization inspired by classic children's illustrations and images from children's picture books. Acting as a conduit for deep learning technology, the research delves into the prospect of seamlessly integrating architectural design styles with the imaginative world of children's illustrations. The outcomes aim to provide fresh perspectives and effective support for the artistic design of contemporary urban buildings. © 2024 KIPS. All Rights Reserved.",2-s2.0-85188600453
Comparison of ResNet50V2 and MobileNetV2 Models in Building Architectural Style Classification,"Artificial intelligence and image processing methods are key in classifying architectural styles in this digital era. Previous research has demonstrated the success of Deep Learning (DL) and Convolutional Neural Network (CNN) techniques in classifying architectural styles, but variations in accuracy and challenges in dealing with variations in lighting, shooting angles, and complexity of architectural styles remain a concern. Through literature exploration, it was found that a direct comparison between the ResNet50V2 and MobileNetV2 models in the context of architectural style classification has never been carried out thoroughly. Disadvantages of existing methods include a better understanding of the model's ability to distinguish subtle nuances in architectural design. This research aims to compare the performance of ResNet50V2 and MobileNetV2 in architectural style classification. ResNet50V2 achieved 93% accuracy, while MobileNetV2 achieved 82%. Graphical analysis and evaluation metrics, including confusion matrices and classification reports, provide deep insight into their performance. In conclusion, ResNet50V2 and MobileNetV2 have their respective advantages and disadvantages. ResNet50V2 shows high and stable accuracy, while MobileNetV2 shows stability with certain fluctuations. Both models have the potential to be used in architectural style classification, but model selection must consider the specific needs and characteristics of the dataset. This research is expected to provide valuable guidance for developing more efficient and reliable classification methods in understanding and preserving building architectural styles. This research contribution is relevant to the industrial development trend, which increasingly relies on technology to increase efficiency and accuracy in various tasks. © 2024 IEEE.",2-s2.0-85202355094
"Comparative Study of Vision Transformer (ViT), Swin Transformer, and Transformer in Transformer (TNT) on Image Classification","The advent of transformer models in computer vision has revolutionized image classification, significantly improving performance compared to standard convolutional neural networks (CNNs). Among these models, the Vision Transformer (ViT), Swin Transformer, and Transformer in Transformer (TNT) represent three leading architectures that apply self-attention mechanisms to image data. In this paper, we perform a comparative evaluation of these models using the CIFAR-10 dataset, focusing on classification performance, computational complexity, and training efficiency. We assess each model using accuracy, precision, recall, F1-score, AUC, and confusion matrices. ViT provides a simple yet powerful mechanism for leveraging global context in image understanding. Swin Transformer introduces a hierarchical design and shifted windows to improve computational efficiency. TNT enhances the process further by enabling fine-grained local and global attention through inner- patch and patch tokenization. Our findings indicate that while TNT achieves the highest overall accuracy and robustness, Swin Transformer maintains an excellent balance between accuracy and computational efficiency on smaller datasets like CIFAR-10. © 2025 IEEE.",2-s2.0-105018475240
The microscopic visual forms in architectural art design following deep learning,"The purpose is to analyze the architectural art design of microscopic visual forms based on deep learning. First, GAN (Generative Adversarial Networks) of deep learning is applied to the field of architecture, and a multi-adversarial information sharing GAN is proposed through the improvement of GAN, and an architecture generation model of microscopic visual forms based on deep learning is constructed. The model is stimulated and its accuracy, distortion, and stability are analyzed. The results show that the accuracy of the model can reach more than 80% on different datasets. Compared with the other models in the related field, the model built in this study can show the features of the building images with the minimum distortion. Meanwhile, the curve hovers are around 0 in the process of model training, which is balanced. Therefore, the research can significantly improve the accuracy and the effect of feature extraction, and provide an experimental basis for the later architectural design of microscopic visual forms. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",2-s2.0-85106670332
Augmenting Design: Solving design problems using generative deep learning frameworks with multiple objectives,"In recent years, generative machine learning methods such as variational autoencoders (VAEs) and generative adversarial networks (GANs) have opened up new avenues of exploration for architects and designers. The presented work explores how these methods can be expanded by incorporating multiple abstract criteria directly into the formulation of the algorithm that negotiates these complex criteria and proposes a fitting design. It draws inspiration from the works of several design theorists who have developed such goal-oriented approaches to design, and sets up multiple-objective VAE and GAN frameworks with this idea in mind. The research demonstrates that by incorporating multiple constraints using auxiliary discriminator networks, the developed algorithms are able to generate innovative solutions to two example problems: the design of 2D digits, and the design of 3D voxel chairs. By speculating and examining the role of the designer in data based generative computational design workflows, the research aims to provide an approach for solving design tasks in the age of big data. © Association for Computer Aided Design in Architecture Annual Conference, ACADIA 2021.",2-s2.0-85135368699
