original_title,summary,concerns_architecture_of_buildings
House style recognition using deep convolutional neural network,"The recent development in deep learning has opened up a new era of possibilities, once difficult to achieve with conventional methods, to revolutionize image recognition, speech recognition, and natural language...",yes
Brightearth City Texturing : Faithful Procedural 3d Urban Modeling From Satellite and Ground Imagery,"BrightEarth City Texturing is an automatic and resource-efficient 3D urban modeling pipeline, producing quality low-poly 3D models with high-resolution seamless textures suitable for real-time rendering. From a single satellite image...",yes
Classification of architectural styles in Chinese traditional settlements using remote sensing images and building facade pictures,The classification of Chinese traditional settlements (CTSs) is extremely important for their differentiated development and protection. The innovative double-branch classification model developed in this study comprehensively utilized the features of...,yes
FLsM: Fuzzy Localization of Image Scenes Based on Large Models,"This article primarily focuses on the study of image-based localization technology. While traditional methods have made significant advancements in technology and applications, the emerging field of visual image-based localization technology...",yes
"Research on Image Classification and Retrieval Using Deep Learning with Attention Mechanism on Diaspora Chinese Architectural Heritage in Jiangmen, China","The study of the architectural heritage of the Chinese diaspora has an important role and significance in China’s historical and cultural background in the preservation of cultural data, the restoration...",yes
"6th International Conference on Dynamics of Information Systems, DIS 2023",The proceedings contain 18 papers. The special focus in this conference is on Dynamics of Information Systems. The topics include: Dispersion of Personal Spaces; an Evolutionary Approach to Automated Class-Specific...,yes
Study on the classification of building based on ResNet,"In real estate appraisal, the building conditions have a significant impact on the asset value. The condition of the building can be estimated based on the characteristics of the external...",yes
Deep Learning Understanding Of Skin Disease Management,Deep learning methods are effective in learning characteristics that aid in accurately interpreting complicated patterns. This study presented a deep attempt to learn Mobile Net Setup and Strong Real Limit...,yes
Comparison of ResNet50V2 and MobileNetV2 Models in Building Architectural Style Classification,Artificial intelligence and image processing methods are key in classifying architectural styles in this digital era. Previous research has demonstrated the success of Deep Learning (DL) and Convolutional Neural Network...,yes
The Classification Method of Urban Architectural Styles Based on Deep Learning and Street View Imagery,"The task of identifying urban architectural styles occupies a very necessary position in the fields of construction of smart cities, sustainable urban development and community regeneration. The research method proposed...",yes
"Investigation, Evaluation, and Dynamic Monitoring of Traditional Chinese Village Buildings Based on Unmanned Aerial Vehicle Images and Deep Learning Methods","The investigation, evaluation, and dynamic monitoring of traditional village buildings are crucial for the protection and inheritance of their architectural styles. This study takes traditional villages in Shandong Province, China,...",yes
Iranian Architectural Styles Recognition Using Image Processing and Deep Learning,"Iranian architecture, also known as Persian architecture, encompasses the design of buildings in Iran and extends to various regions in West Asia, the Caucasus, and Central Asia. With a rich...",yes
Protein secondary structure prediction with context convolutional neural network,Protein secondary structure (SS) prediction is important for studying protein structure and function. Both traditional machine learning methods and deep learning neural networks have been utilized and great progress has...,yes
Building Edge Detection Technology from Remote Sensing Image Based on NSCT and Tensor Voting,"An edge detection technology based on the combination of non-downsampling contour wave transform (NSCT) and tensor voting is proposed, which aims to obtain more accurate and detailed edge information of...",yes
