Original Title,Summary,Concerns Building Architecture (Yes/No)
House style recognition using deep convolutional neural network,"The recent development in deep learning has opened up a new era of possibilities, once difficult to achieve with conventional methods, to revolutionize image recognition, speech recognition, and natural language processing",Yes
Brightearth City Texturing : Faithful Procedural 3d Urban Modeling From Satellite and Ground Imagery,"BrightEarth City Texturing is an automatic and resource-efficient 3D urban modeling pipeline, producing quality low-poly 3D models with high-resolution seamless textures suitable for real-time rendering",Yes
Classification of architectural styles in Chinese traditional settlements using remote sensing images and building facade pictures,The classification of Chinese traditional settlements (CTSs) is extremely important for their differentiated development and protection,Yes
FLsM: Fuzzy Localization of Image Scenes Based on Large Models,This article primarily focuses on the study of image-based localization technology,Yes
"Research on Image Classification and Retrieval Using Deep Learning with Attention Mechanism on Diaspora Chinese Architectural Heritage in Jiangmen, China","The study of the architectural heritage of the Chinese diaspora has an important role and significance in China’s historical and cultural background in the preservation of cultural data, the restoration of images, and in the analysis of human social and ideological conditions",Yes
"6th International Conference on Dynamics of Information Systems, DIS 2023",The proceedings contain 18 papers,Yes
Study on the classification of building based on ResNet,"In real estate appraisal, the building conditions have a significant impact on the asset value",Yes
Deep Learning Understanding Of Skin Disease Management,Deep learning methods are effective in learning characteristics that aid in accurately interpreting complicated patterns,Yes
Comparison of ResNet50V2 and MobileNetV2 Models in Building Architectural Style Classification,Artificial intelligence and image processing methods are key in classifying architectural styles in this digital era,Yes
The Classification Method of Urban Architectural Styles Based on Deep Learning and Street View Imagery,"The task of identifying urban architectural styles occupies a very necessary position in the fields of construction of smart cities, sustainable urban development and community regeneration",Yes
"Investigation, Evaluation, and Dynamic Monitoring of Traditional Chinese Village Buildings Based on Unmanned Aerial Vehicle Images and Deep Learning Methods","The investigation, evaluation, and dynamic monitoring of traditional village buildings are crucial for the protection and inheritance of their architectural styles",Yes
Iranian Architectural Styles Recognition Using Image Processing and Deep Learning,"Iranian architecture, also known as Persian architecture, encompasses the design of buildings in Iran and extends to various regions in West Asia, the Caucasus, and Central Asia",Yes
Protein secondary structure prediction with context convolutional neural network,Protein secondary structure (SS) prediction is important for studying protein structure and function,Yes
Building Edge Detection Technology from Remote Sensing Image Based on NSCT and Tensor Voting,"An edge detection technology based on the combination of non-downsampling contour wave transform (NSCT) and tensor voting is proposed, which aims to obtain more accurate and detailed edge information of buildings in remote sensing images",Yes
Urban Architectural Style Recognition and Dataset Construction Method under Deep Learning of street View Images: A Case Study of Wuhan,"The visual quality and spatial distribution of architectural styles represent a city’s image, influence inhabitants’ living conditions, and may have positive or negative social consequences which are critical to urban sensing and designing",Yes
Building pose detection for the characterization of reinforced concrete buildings,The automated identification of building characteristics for seismic vulnerability remains a challenge for governments due to the high number of buildings in cities,Yes
Intelligent machine vision model for building architectural style classification based on deep learning,This paper presents an intelligent model for building architectural style classification,Yes
Architectural Style Classification Based on Deep Learning,This article analyzes the efficient classification of computer models using different architectural styles,Yes
Urban fabric decoded: High-precision building material identification via deep learning and remote sensing,"Precise identification and categorization of building materials are essential for informing strategies related to embodied carbon reduction, building retrofitting, and circularity in urban environments",Yes
Understanding architecture age and style through deep learning,Architectural styles and their evolution are central to architecture history,Yes
Hierarchical (multi-label) architectural image recognition and classification,The task of architectural image recognition for both architectural functionality and style remains an open challenge,Yes
BUILDING FOOTPRINT EXTRACTION FROM SPACE-BORNE IMAGERY USING DEEP NEURAL NETWORKS,One of the important and high-level detailing contained within basemaps is the ĝ€building feature',Yes
The Φ-stack for SmartWeb of things,"With the emergence of smart IoT, a key problem has becoming increasingly acute: The ""Paradox of Classis Insecta"", which in industry is called the fragmentation problem",Yes
Architectural style classification of Mexican historical buildings using deep convolutional neural networks and sparse features,We propose a convolutional neural network to classify images of buildings using sparse features at the network's input in conjunction with primary color pixel values,Yes
Scrutinization of mammogram images using deep learning,Progressive steps were taken by the deep learning model in a multitude of implementations,Yes
Generative Deep Learning in Architectural Design,"Generative Adversarial Networks (GANs) are an emerging research area in deep learning that have demonstrated impressive abilities to synthesize designs, however, their application in architectural design has been limited",Yes
An extraction method for roof point cloud of ancient building using deep learning framework,"Chinese ancient architecture is a valuable heritage wealth, especially for roof that reflects the construction age, structural features and cultural connotation",Yes
